YEAR ,ROUND ,SEED 1,TEAM 1,SCORE 2,SEED 2,TEAM 2,SCORE ,Upset,Upset Val,W_Team,W_Seed,L_Seed,W_Score,L_Score,Difference,LowerSeed,HigherSeed
1998,First Round,1,Kansas,110,16,Prairie View,52,Not Upset,0,Kansas,1,16,110,52,58,1,16
2009,First Round,1,Connecticut,103,16,Chattanooga,47,Not Upset,0,Connecticut,1,16,103,47,56,1,16
1986,First Round,2,Syracuse,101,15,Brown,52,Not Upset,0,Syracuse,2,15,101,52,49,2,15
2013,First Round,4,Syracuse,81,13,Montana,34,Not Upset,0,Syracuse,4,13,81,34,47,4,13
2002,First Round,1,Duke,84,16,Winthrop,37,Not Upset,0,Duke,1,16,84,37,47,1,16
2013,First Round,5,Virginia Commonwealth,88,12,Akron,42,Not Upset,0,Virginia Commonwealth,5,12,88,42,46,5,12
1995,First Round,1,Kentucky,113,16,Mount St. Mary's,67,Not Upset,0,Kentucky,1,16,113,67,46,1,16
1993,Second Round,1,North Carolina,112,8,Rhode Island,67,Not Upset,0,North Carolina,1,8,112,67,45,1,8
2016,Final Four,2,Villanova,95,2,Oklahoma,51,Not Upset,0,Villanova,2,2,95,51,44,2,2
1993,First Round,1,Kentucky,96,16,Rider,52,Not Upset,0,Kentucky,1,16,96,52,44,1,16
2009,First Round,1,North Carolina,101,16,Radford,58,Not Upset,0,North Carolina,1,16,101,58,43,1,16
2007,First Round,1,Florida,112,16,Jackson State,69,Not Upset,0,Florida,1,16,112,69,43,1,16
2001,First Round,1,Duke,95,16,Monmouth,52,Not Upset,0,Duke,1,16,95,52,43,1,16
1993,First Round,1,Indiana,97,16,Wright State,54,Not Upset,0,Indiana,1,16,97,54,43,1,16
1989,Second Round,1,Oklahoma,124,9,Louisiana Tech,81,Not Upset,0,Oklahoma,1,9,124,81,43,1,9
2011,First Round,1,Duke,87,16,Hampton,45,Not Upset,0,Duke,1,16,87,45,42,1,16
2001,First Round,1,Illinois,96,16,Northwestern State,54,Not Upset,0,Illinois,1,16,96,54,42,1,16
2015,First Round,1,Villanova,93,16,Lafayette,52,Not Upset,0,Villanova,1,16,93,52,41,1,16
2008,First Round,1,UCLA,70,16,Mississippi Valley State,29,Not Upset,0,UCLA,1,16,70,29,41,1,16
1999,Second Round,1,Duke,97,9,Tulsa,56,Not Upset,0,Duke,1,9,97,56,41,1,9
1999,First Round,1,Duke,99,16,Florida A&M,58,Not Upset,0,Duke,1,16,99,58,41,1,16
1991,First Round,1,Arkansas,117,16,Georgia State,76,Not Upset,0,Arkansas,1,16,117,76,41,1,16
2014,First Round,2,Wisconsin,75,15,American,35,Not Upset,0,Wisconsin,2,15,75,35,40,2,15
2007,First Round,1,Kansas,107,16,Niagara,67,Not Upset,0,Kansas,1,16,107,67,40,1,16
1988,First Round,1,Arizona,90,16,Cornell,50,Not Upset,0,Arizona,1,16,90,50,40,1,16
2017,First Round,1,North Carolina,103,16,Texas Southern,64,Not Upset,0,North Carolina,1,16,103,64,39,1,16
2016,First Round,1,Oregon,91,16,Holy Cross,52,Not Upset,0,Oregon,1,16,91,52,39,1,16
2015,Sweet 16,1,Kentucky,78,5,West Virginia,39,Not Upset,0,Kentucky,1,5,78,39,39,1,5
2009,Sweet 16,1,Louisville,103,12,Arizona,64,Not Upset,0,Louisville,1,12,103,64,39,1,12
2008,First Round,1,North Carolina,113,16,Mount St. Mary's,74,Not Upset,0,North Carolina,1,16,113,74,39,1,16
1999,First Round,1,Auburn,80,16,Winthrop,41,Not Upset,0,Auburn,1,16,80,41,39,1,16
1998,First Round,1,Arizona,99,16,Nicholls State,60,Not Upset,0,Arizona,1,16,99,60,39,1,16
1994,First Round,1,Purdue,98,16,Central Florida,67,Not Upset,0,Purdue,1,16,98,67,31,1,16
1996,First Round,3,Arizona,90,14,Valparaiso,51,Not Upset,0,Arizona,3,14,90,51,39,3,14
1992,First Round,2,Indiana,94,15,Eastern Illinois,55,Not Upset,0,Indiana,2,15,94,55,39,2,15
2019,First Round,1,Gonzaga,87,16,Fairleigh Dickinson,49,Not Upset,0,Gonzaga,1,16,87,49,38,1,16
2017,First Round,1,Kansas,100,16,UC Davis,62,Not Upset,0,Kansas,1,16,100,62,38,1,16
2002,First Round,1,Cincinnati,90,16,Boston University,52,Not Upset,0,Cincinnati,1,16,90,52,38,1,16
1997,First Round,1,Kentucky,92,16,Montana,54,Not Upset,0,Kentucky,1,16,92,54,38,1,16
1996,First Round,2,Kansas,92,15,South Carolina State,54,Not Upset,0,Kansas,2,15,92,54,38,2,15
1996,First Round,1,Kentucky,110,16,San Jose State,72,Not Upset,0,Kentucky,1,16,110,72,38,1,16
1992,First Round,4,Cincinnati,85,13,Delaware,47,Not Upset,0,Cincinnati,4,13,85,47,38,4,13
1996,First Round,2,Georgetown,93,15,Mississippi Valley State,56,Not Upset,0,Georgetown,2,15,93,56,37,2,15
1993,Second Round,7,New Mexico State,55,2,Cincinnati,92,Not Upset,0,Cincinnati,2,7,92,55,37,2,7
1989,Elite Eight,5,Virginia,65,3,Michigan,102,Not Upset,0,Michigan,3,5,102,65,37,3,5
2016,First Round,1,Virginia,81,16,Hampton,45,Not Upset,0,Virginia,1,16,81,45,36,1,16
1998,First Round,1,Duke,99,16,Radford,63,Not Upset,0,Duke,1,16,99,63,36,1,16
